Section,question_en,question_fr,variable_kind,possible_values
Renseignements,Building Type,Type de bâtiment,Dropdown,"Appartement, Maison, etc."
Renseignements,Installation Energized,Installation sous tension,Radio,"Oui, Non"
Renseignements,Distributor,Distributeur,Dropdown,"Engie, Enedis, EDF, etc."
B1,Presence of main breaker (AGCP),B1.3 a Présence (y compris annexe usage habitation),Radio,"Oui, Non, NV, Sans Objet"
B1,Located inside the dwelling,B1.3 b Placé à l'intérieur du logement ou annexe en accès directe,Radio,"Oui, Non, NV, Sans Objet"
B1,Ensures total cutoff,B1.3 c Assure la coupure de l'ensemble de l'installation,Radio,"Oui, Non, NV, Sans Objet"
B2,Presence of RCDs,B2.3.1 a Présence,Radio,"Oui, Non, NV, Sans Objet"
B2,Sensitivity <= 30mA,B11 a Différentiel(s) à haute sensibilité (inf. 30 mA),Radio,"Protégeant toute l'installation, Protection partielle, Absent"
B2,RCD Test Button works,B2.3.1 i Déclenche par action sur le bouton test,Radio,"Oui, Non, NV, Sans Objet"
B3,Appropriate earth electrode,B3.3.1 b Elément constituant la prise de terre approprié,Radio,"Oui, Non, NV, Sans Objet"
B3,Earth Resistance Value,Résistance de la terre,Numeric/Unit,Ohm
B3,Presence of ground conductor,B3.3.2 a Présence d'un conducteur de terre,Radio,"Oui, Non, NV, Sans Objet"
B3,Main Equipotential Bonding (LEP),B3.3.4 b Section satisfaisante du conducteur de liaison équipotentielle principale,Radio,"Oui, Non, NV, Sans Objet"
B3,Outlets have ground contact,B3.3.6 a1 Tous les socles de prise comportent un contact de terre,Radio,"Oui, Non, NV, Sans Objet"
B3,Outlets are effectively grounded,B3.3.6 a2 Tous les socles de prise avec terre sont reliés à la terre,Radio,"Oui, Non, NV, Sans Objet"
B4,Overcurrent protection at origin,B4.3 a1 Présence d'une protection contre les surintensités à l'origine de chaque circuit,Radio,"Oui, Non, NV, Sans Objet"
B4,No signs of overheating,B4.3 h Aucun point de connexion de conducteur ou d'appareillage ne présente de trace d'échauffement,Radio,"Oui, Non, NV, Sans Objet"
B5,Bathroom supplementary bonding,B5.3 a Continuité satisfaisante de la liaison équipotentielle supplémentaire,Radio,"Oui, Non, NV, Sans Objet"
B6,Bathroom zone compliance,B6.3.1 a Installation électrique répondant aux prescriptions particulières appliquées à ces locaux,Radio,"Oui, Non, NV, Sans Objet"
B7,Enclosure condition,B7.3 a Enveloppe des matériels électriques en place et non détériorée,Radio,"Oui, Non, NV, Sans Objet"
B7,Insulation condition,B7.3 b Isolant des conducteurs en bon état,Radio,"Oui, Non, NV, Sans Objet"
B8,Absence of obsolete equipment,B8.3 a Absence de matériel électrique vétuste,Radio,"Oui, Non, NV, Sans Objet"
B9,Common area feed,B9.3.2 a Installation électrique issue de la partie privative alimentant des matériels... en parties communes,Radio,"Oui, Non, NV, Sans Objet"
B10,Pool volume safety,B10.3.1 a L'installation et/ou les équipements électriques répondent aux prescriptions particulières (volumes),Radio,"Oui, Non, NV, Sans Objet"
B10,Fountain equipotential bonding,B10.3.2 e La continuité électrique de la liaison équipotentielle supplémentaire... est satisfaisante,Radio,"Oui, Non, NV, Sans Objet"
B3,Elevator grounding,B3.3.6 a4 Portes des ascenseurs monte-charges privés reliés à la terre,Radio,"Oui, Non, NV, Sans Objet"
E1,Uncovered grounding in common areas,Installation de mise à la terre située dans les parties communes,Checkbox,"Checked, Unchecked"
E1,Uncovered parts in common areas,Parties d'installation électrique situées dans les parties communes,Checkbox,"Checked, Unchecked"
B1,Switch or circuit breaker,B1.3 d Disjoncteur ou interrupteur,Radio,"Oui, Non, NV, Sans Objet"
B1,Manual control only,B1.3 e Coupure manuelle uniquement,Radio,"Oui, Non, NV, Sans Objet"
B1,Simultaneous multipolar cutoff,B1.3 f Coupure simultanée et multipolaire,Radio,"Oui, Non, NV, Sans Objet"
B1,Height under 1.80 m,B1.3 g Placé à hauteur inférieure à 1,80 m,Radio,"Oui, Non, NV, Sans Objet"
B1,Access not via hatch,B1.3 h Accès non par trappe,Radio,"Oui, Non, NV, Sans Objet"
B1,Panel accessible without key or tool,B1.3 i Tableau accessible sans clé ni outil,Radio,"Oui, Non, NV, Sans Objet"
B1,Not under water or cooktop,B1.3 j Non placé sous point d'eau ni au-dessus de feux ou plaques,Radio,"Oui, Non, NV, Sans Objet"
B4,Overcurrent devices on phase conductors,B4.3 a2 Tous les dispositifs de protection sur les conducteurs de phase,Radio,"Oui, Non, NV, Sans Objet"
B4,Fuse type authorised; breaker not current-adjustable,B4.3 b Type de fusible autorisé; disjoncteur non réglable en courant,Radio,"Oui, Non, NV, Sans Objet"
B4,Phase conductors under same overcurrent protection with common neutral,B4.3 c Conducteurs de phase regroupés sous la même protection; neutre commun,Radio,"Oui, Non, NV, Sans Objet"
B4,Overcurrent rating adapted to conductor section per circuit,B4.3 e Courant assigné protection adapté à la section des conducteurs,Radio,"Oui, Non, NV, Sans Objet"
B4,Feeder section adapted to service breaker setting,B4.3 f1 Section canalisation alimentant le tableau adaptée au disjoncteur de branchement,Radio,"Oui, Non, NV, Sans Objet"
B4,Feeder section adequate for upstream device rating,B4.3 f2 Section conducteurs d'alimentation en adéquation avec DP amont,Radio,"Oui, Non, NV, Sans Objet"
B4,Bridging conductor section adequate,B4.3 f3 Section conducteurs de pontage en adéquation,Radio,"Oui, Non, NV, Sans Objet"
B4,Main cutoff switch rating adapted,B4.3 i Courant assigné interrupteur coupure ensemble installation adapté,Radio,"Oui, Non, NV, Sans Objet"
B4,RCD rating downstream of service breaker adapted,B4.3 j1 Courant assigné interrupteur différentiel aval disjoncteur branchement adapté,Radio,"Oui, Non, NV, Sans Objet"
B4,RCD ratings of multiple panels adapted,B4.3 j2 Courants assignés interrupteurs différentiels plusieurs tableaux adaptés,Radio,"Oui, Non, NV, Sans Objet"
B4,No panel below water point or above cooktop,B4.3 g Aucun tableau placé au-dessous d'un point d'eau ni au-dessus de feux ou plaques,Radio,"Oui, Non, NV, Sans Objet"
B3,Multiple interconnected earth electrodes same building,B3.3.1 c Prises de terre multiples interconnectées même bâtiment,Radio,"Oui, Non, NV, Sans Objet"
B3,Label re absence of earth; 30 mA RCD and LES in kitchen,B3.3.1 e Étiquette absence prise de terre; différentiel 30 mA et LES en cuisine,Radio,"Oui, Non, NV, Sans Objet"
B3,Ground conductor section satisfactory,B3.3.2 b Section du conducteur de terre satisfaisante,Radio,"Oui, Non, NV, Sans Objet"
B3,Earth resistance value adapted to RCD(s),B3.3.1 d Valeur résistance prise de terre adaptée au(x) différentiel(s),Radio,"Oui, Non, NV, Sans Objet"
B3,LEP connections to conductive elements <= 2 ohms,B3.3.4 a Connexions LEP aux éléments conducteurs inférieures ou égales à 2 ohms,Radio,"Oui, Non, NV, Sans Objet"
B3,Presence of individual earth branch,B3.3.5 a2 Présence d'une dérivation Ind. de Terre,Radio,"Oui, Non, NV, Sans Objet"
B3,Section of individual earth branch satisfactory,B3.3.5 b2 Section dérivation Ind. de Terre visible en PP satisfaisante,Radio,"Oui, Non, NV, Sans Objet"
B3,Main protective conductor elements appropriate,B3.3.5 c Éléments constituant le conducteur principal de protection appropriés,Radio,"Oui, Non, NV, Sans Objet"
B3,Main protective conductor resistance value,Résistance du CPP,Numeric/Unit,Ohm
B3,Main protective conductor continuity satisfactory,B3.3.5 d Continuité satisfaisante du conducteur principal de protection,Radio,"Oui, Non, NV, Sans Objet"
B3,Quality of LEP connections on conductive elements,B3.3.4 d Qualité des connexions LEP sur éléments conducteurs,Radio,"Oui, Non, NV, Sans Objet"
B3,Quality of earth LEP and main protective conductor on main earth terminal,B3.3.3 a Qualité connexion conducteur de terre LEP CPP sur borne ou barrette de terre principale,Radio,"Oui, Non, NV, Sans Objet"
B3,All circuits except outlets connected to earth,B3.3.6 a3 Tous les circuits (hors prises) reliés à la terre,Radio,"Oui, Non, NV, Sans Objet"
B3,Protection conductor elements appropriate,B3.3.6 b Éléments constituant les conducteurs de protection appropriés,Radio,"Oui, Non, NV, Sans Objet"
B3,Protection conductor section satisfactory,B3.3.6 c Section satisfaisante des conducteurs de protection,Radio,"Oui, Non, NV, Sans Objet"
B3,Compensatory measure in absence of protection conductor,B3.3.6.1 Mesure compensatoire en l'absence de conducteur de protection,Radio,"Oui, Non, NV, Sans Objet"
B3,All socket-outlets shuttered type,B11 b1 Ensemble des socles de prise de courant du type à obturateur,Radio,"Oui, Non, NV, Sans Objet"
B3,All socket-outlets 15 mm well,B11 c1 Ensemble des socles possédant un puits de 15 mm,Radio,"Oui, Non, NV, Sans Objet"
B3,No conductors in metal frames or trunking in bathroom,B3.3.8 b Absence de conducteurs dans huisseries ou goulottes métalliques en salle d'eau,Radio,"Oui, Non, NV, Sans Objet"
B3,Metal frames or trunking with conductors connected to earth,B3.3.8 a Huisseries ou goulottes métalliques avec conducteurs reliées à la terre,Radio,"Oui, Non, NV, Sans Objet"
B3,Compensatory measure for metal frames not earthed,B3.3.8.1 Mesure compensatoire en l'absence de mise à la terre des huisseries ou goulottes métalliques,Radio,"Oui, Non, NV, Sans Objet"
B3,No metallic conduits with conductors in bathroom,B3.3.7 b Absence de conduits métalliques avec conducteurs en salle d'eau,Radio,"Oui, Non, NV, Sans Objet"
B3,Metallic conduits with conductors connected to earth,B3.3.7 a Conduits métalliques avec conducteurs reliés à la terre,Radio,"Oui, Non, NV, Sans Objet"
B3,Compensatory measure for metallic conduits,B3.3.7.1 Mesure compensatoire en l'absence de mise à la terre des conduits métalliques,Radio,"Oui, Non, NV, Sans Objet"
B3,No metallic connection boxes in bathroom,B3.3.9 a Absence de boîtes de connexion métalliques en salle d'eau,Radio,"Oui, Non, NV, Sans Objet"
B3,Metallic connection boxes with conductors connected to earth,B3.3.9 b Boîtes de connexion métalliques avec conducteurs reliées à la terre,Radio,"Oui, Non, NV, Sans Objet"
B3,Compensatory measure for metallic connection boxes,B3.3.9.1 Mesure compensatoire en l'absence de mise à la terre des boîtes métalliques,Radio,"Oui, Non, NV, Sans Objet"
B3,Outdoor socket-outlets protected by high-sensitivity RCD 30 mA,B3.3.10 a Socles de prise situés à l'extérieur protégés par différentiel haute sensibilité 30 mA,Radio,"Oui, Non, NV, Sans Objet"
B5,Section of visible part of supplementary bonding conductor satisfactory,B5.3 b Section satisfaisante de la partie visible du conducteur de liaison équipotentielle supplémentaire,Radio,"Oui, Non, NV, Sans Objet"
B5,Quality of supplementary bonding connections to conductive elements,B5.3 d Qualité des connexions du conducteur LES aux éléments conducteurs et masses,Radio,"Oui, Non, NV, Sans Objet"
B5,Compensatory measure for B5.3 a correctly implemented,B5.3.1 Mesure compensatoire à B5.3 a correctement mise en œuvre,Radio,"Oui, Non, NV, Sans Objet"
B6,LV equipment under bathtub accessible only with tool,B6.3.1 c Matériel BT sous baignoire accessible qu'en retirant tablier ou trappe à l'aide d'un outil,Radio,"Oui, Non, NV, Sans Objet"
B8,Conductors mechanically protected,B8.3 e Conducteurs protégés mécaniquement par conduits goulottes plinthes,Radio,"Oui, Non, NV, Sans Objet"
B7,No accessible live parts over 25 VAC or 60 VDC non-SELV,B7.3 c2 Aucune partie active accessible sous tension supérieure à 25 VAC ou 60 VCC hors TBTS,Radio,"Oui, Non, NV, Sans Objet"
B7,No connection with bare live parts,B7.3 d Aucune connexion présentant des parties actives nues,Radio,"Oui, Non, NV, Sans Objet"
B7,No protection device with bare live parts,B7.3 e Aucun dispositif de protection présentant des parties actives nues,Radio,"Oui, Non, NV, Sans Objet"
B8,Absence of equipment unsuitable for use,B8.3 b Absence de matériel électrique inadapté à l'usage,Radio,"Oui, Non, NV, Sans Objet"
B8,No green-yellow conductor used as live,B8.3 c Absence de conducteur vert et jaune utilisé comme conducteur actif,Radio,"Oui, Non, NV, Sans Objet"
B8,No live conductor diameter under 1.13 mm2,B8.3 d Absence de conducteur actif diamètre inférieur à 12/10 mm (1,13 mm²),Radio,"Oui, Non, NV, Sans Objet"
B10,Pool volumes 0 1 2 conduits no metal coating,B10.3.1 b Dans volumes 0 1 ou 2 canalisations sans revêtement métallique limitées à matériel volumes 0 ou 1,Radio,"Oui, Non, NV, Sans Objet"
B10,Pool equipment in room correctly installed,B10.3.1 c Matériels piscine disposés dans un local correctement installés,Radio,"Oui, Non, NV, Sans Objet"
B10,Pool LV equipment in volume 1 correctly installed,B10.3.1 d Matériels BT volume 1 correctement installés,Radio,"Oui, Non, NV, Sans Objet"
B10,Pool supplementary bonding continuity satisfactory,B10.3.1 e Continuité liaison équipotentielle supplémentaire piscine satisfaisante (résistance inférieure ou égale à 2 ohms),Radio,"Oui, Non, NV, Sans Objet"
B10,Fountain installation and equipment comply with volume rules,B10.3.2 a Installation et équipements fontaine répondant aux prescriptions particulières (volumes),Radio,"Oui, Non, NV, Sans Objet"
B10,Fountain volumes 0 1 conduits no metal coating,B10.3.2 b Dans volumes 0 ou 1 canalisations sans revêtement métallique,Radio,"Oui, Non, NV, Sans Objet"
B10,Fountain equipment in volumes 0 1 inaccessible,B10.3.2 c Matériels électriques volumes 0 et 1 inaccessibles,Radio,"Oui, Non, NV, Sans Objet"
B10,Fountain luminaires volumes 0 1 fixed,B10.3.2 d Luminaires des volumes 0 et 1 fixés,Radio,"Oui, Non, NV, Sans Objet"
E1,Adequacy between earth resistance value and assigned residual differential current,Adéquation entre la valeur de la résistance de la prise de terre et le courant différentiel-résiduel assigné,Checkbox,"Checked, Unchecked"
